TP9,AF7,AF8,TP10,Label
0.37874229528315385,0.6348910188601098,0.2255289816954686,0.9668569734098288,right
0.5591192669927247,0.625609319514254,0.019322021724883314,0.9352768220342008,left
0.16435059587983598,0.3362702882828362,0.7498878799480595,0.48196826563336956,right
0.9999540451622311,0.6512563541387953,0.5677806013064569,0.05173477786415335,right
0.3048282122242499,0.7129343210746546,0.8906600543101441,0.2922504481946189,left
0.8552817961011346,0.9656654117262151,0.9898755531304387,0.7947449444630499,left
0.21615971315024467,0.8759771730023556,0.5157216338045693,0.05150685750503036,right
0.9956773086541933,0.40586157987112107,0.9577199919736993,0.24137922280820534,right
0.4690800791403909,0.03602185857131546,0.09935123282879813,0.7860450567591895,left
0.15374470205291434,0.8198940798964266,0.9915726782160855,0.9029672567421182,left
0.6183887938990183,0.19817003722716683,0.25144474560757425,0.17885676432812037,right
0.6937076866799792,0.6514687575066141,0.7855141250315569,0.6015879611237787,left
0.704503684372528,0.3998198270388322,0.106485063329398,0.11800441382141322,left
0.8948813142463872,0.5714588660946851,0.6484575486636046,0.34671504237606306,left
0.4570833654893075,0.6729263407450639,0.23982742403005777,0.9099369026611716,right
0.24363708336440095,0.46541583336114104,0.8385639902671804,0.6856755435330325,right
0.3319229887353283,0.5534212011280072,0.6786250592219362,0.9353618337048908,right
0.836059573380936,0.2301390346250954,0.20023400633844827,0.23575836765490313,right
0.37082686113002195,0.472343670649348,0.23650810605593338,0.43900566892672156,left
0.1741098231592119,0.7941656206573452,0.7862079755230409,0.5335208357228559,left
0.005052256197835286,0.3845793445482807,0.7031365661806683,0.5712489518680542,right
0.7561632120586943,0.7907999770338436,0.8309743700516795,0.05671385698744809,left
0.1707195186125449,0.4717340383404607,0.19712882715201447,0.006861515297309496,right
0.4641847562347737,0.8710729371707769,0.36752757005947304,0.16527554123717702,right
0.2406580297712837,0.27082650917742984,0.0007437706761479642,0.18749087880575303,right
0.9362595787591272,0.30592794828603267,0.2345535541263168,0.2029266830458442,left
0.17304233221504812,0.929229155266414,0.2064253589543444,0.7884183823948381,right
0.7081961521851755,0.5072337383425014,0.029025881478441425,0.49975316185017515,left
0.3360707478081147,0.8989011165114952,0.07499672693692812,0.46295293594652565,right
0.019226321309421347,0.6060711836126012,0.4276694386171005,0.2797784981591125,right
0.4574868885468497,0.7118327239397461,0.7866451176503477,0.25332299179820706,right
0.743194964477757,0.2054707452025252,0.48003593763665174,0.0860192519220126,left
0.24139425681550948,0.7246653341945646,0.864270906613553,0.22001172017468226,right
0.0782891468416351,0.8353530941926011,0.01982808500023576,0.273314787
