TP9,AF7,AF8,TP10,Label
0.8867953907595661,0.45549196604586454,0.7156127281322829,0.13388836163030583,right
0.5692151038999573,0.5232689626171698,0.01713621567470408,0.6791157173278042,left
0.4320517748538927,0.0974701577496685,0.7342781855903252,0.44064082623033754,right
0.2308898337638191,0.9409263010027813,0.8402820844123043,0.9631675119049005,right
0.6718985188391185,0.8496556225755426,0.44311401917450966,0.015952654879725183,right
0.896072617338527,0.41489355672049535,0.18125873080437096,0.7221569244044843,left
0.5704432585434763,0.48094875472911285,0.6219662416379637,0.3959944180575345,right
0.8540131825782458,0.7328550975090885,0.6696703443291681,0.3544668012531745,left
0.7855413580463556,0.6608922883197139,0.30199391756604835,0.1709659570519283,left
0.7588621001407636,0.17513936203736818,0.8648325527475692,0.2409470558100798,left
0.03290909502561457,0.4718624291485158,0.3431794850961815,0.2174731226417596,right
0.3886053400839373,0.8884250245484301,0.3094741738778149,0.9262263082007329,left
0.7604995257624235,0.2680297485346589,0.3942126363663147,0.3012049273995059,right
0.17294901264709696,0.776514534570806,0.7993364627044268,0.6560521260387843,left
0.6091994518980713,0.10362360336242642,0.816112244794139,0.6018545296647117,right
0.8700809495157452,0.03289890769705291,0.47852481221890016,0.29724908098296483,right
0.5475646377268783,0.08055632043248849,0.40526216533653226,0.6349076729082879,right
0.6953200567417585,0.8999976025272004,0.9994098299707046,0.016390194758424975,left
0.6351541305545745,0.22623641923217595,0.6011990571643842,0.15679440067011037,right
0.938554866417029,0.4582794484128591,0.6466012212928289,0.4289259503081184,left
0.4586122127601628,0.31643945138335575,0.15212052574033496,0.015513993128282236,left
0.07463531516200823,0.5042739059933547,0.9703831768708957,0.2905539140021936,right
0.8891349848968767,0.10040195167514037,0.057841603707986314,0.8912178535637649,right
0.2834111888482294,0.35319386518369417,0.19423700699301227,0.07344742960575343,left
0.12505503725573337,0.8127874977816232,0.24413612297704817,0.33764544081438367,right
0.3176132592626327,0.8692909044133478,0.8994209185565183,0.12050858088055165,left
0.7006114060559651,0.5396968691906746,0.6766971840112447,0.7984531263484471,left
0.604539135800236,0.5563789289261009,0.932720748129865,0.6014569344006224,right
0.6235335114532532,0.3679538654008462,0.4864196121315807,0.6760428755096887,left
0.295161147322126,0.10077509553419962,0.05504548580857652,0.40915642404051616,left
0.8951910243646663,0.8998287736969503,0.4919178906946843,0.25907313852212267,right
0.9572173226203015,0.07764507903718658,0.7908277221928653,0.7539640713149278,right
0.14861993302146835,0.07172402519711855,0.4373040843870174,0.3192689882220735,right
0.1683479052574404,0.07127127390064125,0.5539490003483632,0.25374483696438805,left
0.4223307239630576,0.18940955867715545,0.707949855455743,0.2198492333328228
